证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,high-low
IXIC,纳斯达克,2000/1/3,4186.19,4192.19,3989.71,4131.15,61.8398,1.5197,0.049504724
IXIC,纳斯达克,2000/1/4,4020,4073.25,3898.23,3901.69,-229.46,-5.5544,0.043918603
IXIC,纳斯达克,2000/1/5,3854.35,3924.21,3734.87,3877.54,-24.1499,-0.619,0.049452045
IXIC,纳斯达克,2000/1/6,3834.44,3868.76,3715.62,3727.13,-150.4102,-3.879,0.040388487
IXIC,纳斯达克,2000/1/7,3711.09,3882.67,3711.09,3882.62,155.4902,4.1718,0.045197427
IXIC,纳斯达克,2000/1/10,4002.23,4072.36,3958.83,4049.67,167.0498,4.3025,0.028274157
IXIC,纳斯达克,2000/1/11,4031.38,4066.66,3904.82,3921.19,-128.48,-3.1726,0.040610336
IXIC,纳斯达克,2000/1/12,3950.95,3950.98,3834.53,3850.02,-71.1699,-1.815,0.029916778
IXIC,纳斯达克,2000/1/13,3915.14,3957.47,3858.22,3957.21,107.1899,2.7841,0.025398995
IXIC,纳斯达克,2000/1/14,4045.72,4091.95,4045.72,4064.27,107.0601,2.7054,0.011362097
IXIC,纳斯达克,2000/1/18,4059.65,4148,4053.21,4130.81,66.54,1.6372,0.023117131
IXIC,纳斯达克,2000/1/19,4116.27,4164.65,4084.73,4151.29,20.48,0.4958,0.019376608
IXIC,纳斯达克,2000/1/20,4205.06,4227.35,4143.61,4189.51,38.2197,0.9207,0.020007931
IXIC,纳斯达克,2000/1/21,4236.65,4238,4168.3,4235.4,45.8901,1.0954,0.016583181
IXIC,纳斯达克,2000/1/24,4290.38,4303.15,4095.31,4096.08,-139.3198,-3.2894,0.049504896
IXIC,纳斯达克,2000/1/25,4124.75,4167.63,4028.51,4167.41,71.3301,1.7414,0.033950948
IXIC,纳斯达克,2000/1/26,4174.72,4174.72,4069.91,4069.91,-97.5002,-2.3396,0.025426404
IXIC,纳斯达克,2000/1/27,4120.5,4140.09,3973.59,4039.56,-30.3499,-0.7457,0.041047559
IXIC,纳斯达克,2000/1/28,4010.14,4048.31,3856.23,3887.07,-152.49,-3.7749,0.048609488
IXIC,纳斯达克,2000/1/31,3873.84,3940.46,3748.03,3940.35,53.28,1.3707,0.050067099
IXIC,纳斯达克,2000/2/1,3961.07,4053.16,3911.84,4051.98,111.6299,2.833,0.035488972
IXIC,纳斯达克,2000/2/2,4059.03,4125.75,4051.44,4073.96,21.98,0.5425,0.018175448
IXIC,纳斯达克,2000/2/3,4134.65,4211.06,4085.53,4210.98,137.02,3.3633,0.030262935
IXIC,纳斯达克,2000/2/4,4242.15,4294.84,4229.2,4244.14,33.1602,0.7875,0.015401452
IXIC,纳斯达克,2000/2/7,4274.03,4321.96,4244.74,4321.77,77.6299,1.8291,0.018028434
IXIC,纳斯达克,2000/2/8,4370.01,4428.48,4370.01,4427.5,105.73,2.4465,0.013291113
